23:37:11.348899 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51067368:51067540, ack 28081, win 64032, length 172
23:37:11.348961 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51067540:51067712, ack 28081, win 64032, length 172
23:37:11.349019 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51067712:51067884, ack 28081, win 64032, length 172
23:37:11.349079 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51067884:51068056, ack 28081, win 64032, length 172
23:37:11.349135 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51068056:51068228, ack 28081, win 64032, length 172
23:37:11.349197 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51068228:51068400, ack 28081, win 64032, length 172
23:37:11.349448 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51068400:51068572, ack 28081, win 64032, length 172
23:37:11.349512 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51068572:51068744, ack 28081, win 64032, length 172
23:37:11.349569 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51068744:51068916, ack 28081, win 64032, length 172
23:37:11.349625 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51068916:51069088, ack 28081, win 64032, length 172
23:37:11.349700 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51069088:51069260, ack 28081, win 64032, length 172
23:37:11.349771 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51069260:51069432, ack 28081, win 64032, length 172
23:37:11.349829 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51069432:51069604, ack 28081, win 64032, length 172
23:37:11.349887 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51069604:51069776, ack 28081, win 64032, length 172
23:37:11.349945 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51069776:51069948, ack 28081, win 64032, length 172
23:37:11.349995 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51069948:51070120, ack 28081, win 64032, length 172
23:37:11.350055 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51070120:51070292, ack 28081, win 64032, length 172
23:37:11.371430 IP 205.189.187.4.50205 > comp3134-Winter2023.ssh: Flags [P.], seq 28081:28117, ack 51034024, win 64068, length 36
23:37:11.371514 IP comp3134-Winter2023.ssh > 205.189.187.4.50205: Flags [P.], seq 51070292:51070464, ack 28117, win 64032, length 172
